bert-base-uncased	{'CR': {'devacc': 86.73, 'acc': 86.65, 'ndev': 3775, 'ntest': 3775}, 'MR': {'devacc': 81.88, 'acc': 81.94, 'ndev': 10662, 'ntest': 10662}, 'MPQA': {'devacc': 87.78, 'acc': 87.96, 'ndev': 10606, 'ntest': 10606}, 'SUBJ': {'devacc': 95.34, 'acc': 95.7, 'ndev': 10000, 'ntest': 10000}, 'SST2': {'devacc': 85.78, 'acc': 86.66, 'ndev': 872, 'ntest': 1821}, 'SST5': {'devacc': 46.05, 'acc': 45.84, 'ndev': 1101, 'ntest': 2210}}
./finetuned-scrumbled-wikitext2-3e-4/checkpoint-1680	{'CR': {'devacc': 77.15, 'acc': 78.01, 'ndev': 3775, 'ntest': 3775}, 'MR': {'devacc': 71.3, 'acc': 71.6, 'ndev': 10662, 'ntest': 10662}, 'MPQA': {'devacc': 84.54, 'acc': 85.24, 'ndev': 10606, 'ntest': 10606}, 'SUBJ': {'devacc': 90.19, 'acc': 90.63, 'ndev': 10000, 'ntest': 10000}, 'SST2': {'devacc': 78.1, 'acc': 77.65, 'ndev': 872, 'ntest': 1821}, 'SST5': {'devacc': 41.24, 'acc': 39.19, 'ndev': 1101, 'ntest': 2210}}
./finetuned-scrumbled-wikitext2-3e-4/checkpoint-1760	{'CR': {'devacc': 76.93, 'acc': 77.22, 'ndev': 3775, 'ntest': 3775}, 'MR': {'devacc': 70.61, 'acc': 71.0, 'ndev': 10662, 'ntest': 10662}, 'MPQA': {'devacc': 83.88, 'acc': 84.56, 'ndev': 10606, 'ntest': 10606}, 'SUBJ': {'devacc': 90.22, 'acc': 90.71, 'ndev': 10000, 'ntest': 10000}, 'SST2': {'devacc': 76.15, 'acc': 75.23, 'ndev': 872, 'ntest': 1821}, 'SST5': {'devacc': 39.24, 'acc': 38.14, 'ndev': 1101, 'ntest': 2210}}
./finetuned-scrumbled-wikitext2-3e-4/checkpoint-1840	{'CR': {'devacc': 76.77, 'acc': 77.8, 'ndev': 3775, 'ntest': 3775}, 'MR': {'devacc': 70.98, 'acc': 71.38, 'ndev': 10662, 'ntest': 10662}, 'MPQA': {'devacc': 84.39, 'acc': 84.9, 'ndev': 10606, 'ntest': 10606}, 'SUBJ': {'devacc': 90.39, 'acc': 90.46, 'ndev': 10000, 'ntest': 10000}, 'SST2': {'devacc': 75.46, 'acc': 74.63, 'ndev': 872, 'ntest': 1821}, 'SST5': {'devacc': 39.24, 'acc': 39.14, 'ndev': 1101, 'ntest': 2210}}
./finetuned-scrumbled-wikitext2-3e-4/checkpoint-1920	{'CR': {'devacc': 75.58, 'acc': 76.56, 'ndev': 3775, 'ntest': 3775}, 'MR': {'devacc': 69.95, 'acc': 70.31, 'ndev': 10662, 'ntest': 10662}, 'MPQA': {'devacc': 84.19, 'acc': 84.6, 'ndev': 10606, 'ntest': 10606}, 'SUBJ': {'devacc': 90.28, 'acc': 90.43, 'ndev': 10000, 'ntest': 10000}, 'SST2': {'devacc': 75.11, 'acc': 73.7, 'ndev': 872, 'ntest': 1821}, 'SST5': {'devacc': 37.24, 'acc': 34.66, 'ndev': 1101, 'ntest': 2210}}
./finetuned-scrumbled-wikitext2-3e-4/checkpoint-2000	{'CR': {'devacc': 75.69, 'acc': 77.09, 'ndev': 3775, 'ntest': 3775}, 'MR': {'devacc': 70.66, 'acc': 70.72, 'ndev': 10662, 'ntest': 10662}, 'MPQA': {'devacc': 85.07, 'acc': 85.31, 'ndev': 10606, 'ntest': 10606}, 'SUBJ': {'devacc': 90.09, 'acc': 90.71, 'ndev': 10000, 'ntest': 10000}, 'SST2': {'devacc': 74.43, 'acc': 74.46, 'ndev': 872, 'ntest': 1821}, 'SST5': {'devacc': 37.97, 'acc': 38.73, 'ndev': 1101, 'ntest': 2210}}
./finetuned-scrumbled-wikitext2-3e-4/checkpoint-2080	{'CR': {'devacc': 76.19, 'acc': 77.78, 'ndev': 3775, 'ntest': 3775}, 'MR': {'devacc': 71.05, 'acc': 71.33, 'ndev': 10662, 'ntest': 10662}, 'MPQA': {'devacc': 84.56, 'acc': 85.03, 'ndev': 10606, 'ntest': 10606}, 'SUBJ': {'devacc': 90.82, 'acc': 91.38, 'ndev': 10000, 'ntest': 10000}, 'SST2': {'devacc': 75.0, 'acc': 75.23, 'ndev': 872, 'ntest': 1821}, 'SST5': {'devacc': 40.24, 'acc': 39.19, 'ndev': 1101, 'ntest': 2210}}
./finetuned-scrumbled-wikitext2-3e-4/checkpoint-2160	{'CR': {'devacc': 75.64, 'acc': 76.19, 'ndev': 3775, 'ntest': 3775}, 'MR': {'devacc': 71.21, 'acc': 71.03, 'ndev': 10662, 'ntest': 10662}, 'MPQA': {'devacc': 85.08, 'acc': 85.41, 'ndev': 10606, 'ntest': 10606}, 'SUBJ': {'devacc': 91.11, 'acc': 91.34, 'ndev': 10000, 'ntest': 10000}, 'SST2': {'devacc': 75.57, 'acc': 74.14, 'ndev': 872, 'ntest': 1821}, 'SST5': {'devacc': 37.78, 'acc': 39.46, 'ndev': 1101, 'ntest': 2210}}
./finetuned-scrumbled-wikitext2-3e-4/checkpoint-2240	{'CR': {'devacc': 76.61, 'acc': 77.75, 'ndev': 3775, 'ntest': 3775}, 'MR': {'devacc': 71.08, 'acc': 71.3, 'ndev': 10662, 'ntest': 10662}, 'MPQA': {'devacc': 84.47, 'acc': 85.3, 'ndev': 10606, 'ntest': 10606}, 'SUBJ': {'devacc': 90.72, 'acc': 90.94, 'ndev': 10000, 'ntest': 10000}, 'SST2': {'devacc': 76.61, 'acc': 74.63, 'ndev': 872, 'ntest': 1821}, 'SST5': {'devacc': 38.87, 'acc': 39.14, 'ndev': 1101, 'ntest': 2210}}
./finetuned-scrumbled-wikitext2-3e-4/checkpoint-2320	{'CR': {'devacc': 74.57, 'acc': 76.19, 'ndev': 3775, 'ntest': 3775}, 'MR': {'devacc': 69.6, 'acc': 69.54, 'ndev': 10662, 'ntest': 10662}, 'MPQA': {'devacc': 83.82, 'acc': 84.93, 'ndev': 10606, 'ntest': 10606}, 'SUBJ': {'devacc': 89.53, 'acc': 89.86, 'ndev': 10000, 'ntest': 10000}, 'SST2': {'devacc': 75.34, 'acc': 73.81, 'ndev': 872, 'ntest': 1821}, 'SST5': {'devacc': 36.15, 'acc': 37.92, 'ndev': 1101, 'ntest': 2210}}
./finetuned-scrumbled-wikitext2-3e-4/checkpoint-2400	{'CR': {'devacc': 75.18, 'acc': 76.21, 'ndev': 3775, 'ntest': 3775}, 'MR': {'devacc': 71.01, 'acc': 71.29, 'ndev': 10662, 'ntest': 10662}, 'MPQA': {'devacc': 85.05, 'acc': 85.26, 'ndev': 10606, 'ntest': 10606}, 'SUBJ': {'devacc': 90.57, 'acc': 90.84, 'ndev': 10000, 'ntest': 10000}, 'SST2': {'devacc': 75.11, 'acc': 75.29, 'ndev': 872, 'ntest': 1821}, 'SST5': {'devacc': 38.51, 'acc': 37.92, 'ndev': 1101, 'ntest': 2210}}
./finetuned-scrumbled-wikitext2-3e-4/checkpoint-2480	{'CR': {'devacc': 75.1, 'acc': 75.82, 'ndev': 3775, 'ntest': 3775}, 'MR': {'devacc': 69.65, 'acc': 69.84, 'ndev': 10662, 'ntest': 10662}, 'MPQA': {'devacc': 83.65, 'acc': 84.23, 'ndev': 10606, 'ntest': 10606}, 'SUBJ': {'devacc': 90.21, 'acc': 90.76, 'ndev': 10000, 'ntest': 10000}, 'SST2': {'devacc': 76.26, 'acc': 73.31, 'ndev': 872, 'ntest': 1821}, 'SST5': {'devacc': 37.87, 'acc': 37.92, 'ndev': 1101, 'ntest': 2210}}
./finetuned-scrumbled-wikitext2-3e-4/checkpoint-2560	{'CR': {'devacc': 74.73, 'acc': 76.14, 'ndev': 3775, 'ntest': 3775}, 'MR': {'devacc': 70.96, 'acc': 70.96, 'ndev': 10662, 'ntest': 10662}, 'MPQA': {'devacc': 84.84, 'acc': 85.19, 'ndev': 10606, 'ntest': 10606}, 'SUBJ': {'devacc': 90.8, 'acc': 91.1, 'ndev': 10000, 'ntest': 10000}, 'SST2': {'devacc': 76.83, 'acc': 74.85, 'ndev': 872, 'ntest': 1821}, 'SST5': {'devacc': 38.15, 'acc': 38.1, 'ndev': 1101, 'ntest': 2210}}
./finetuned-scrumbled-wikitext2-3e-4/checkpoint-2640	{'CR': {'devacc': 75.02, 'acc': 76.4, 'ndev': 3775, 'ntest': 3775}, 'MR': {'devacc': 70.88, 'acc': 70.82, 'ndev': 10662, 'ntest': 10662}, 'MPQA': {'devacc': 84.72, 'acc': 85.49, 'ndev': 10606, 'ntest': 10606}, 'SUBJ': {'devacc': 90.59, 'acc': 91.05, 'ndev': 10000, 'ntest': 10000}, 'SST2': {'devacc': 75.46, 'acc': 75.51, 'ndev': 872, 'ntest': 1821}, 'SST5': {'devacc': 39.78, 'acc': 38.78, 'ndev': 1101, 'ntest': 2210}}
./finetuned-scrumbled-wikitext2-3e-4/checkpoint-2720	{'CR': {'devacc': 72.72, 'acc': 74.62, 'ndev': 3775, 'ntest': 3775}, 'MR': {'devacc': 70.25, 'acc': 70.2, 'ndev': 10662, 'ntest': 10662}, 'MPQA': {'devacc': 84.15, 'acc': 84.89, 'ndev': 10606, 'ntest': 10606}, 'SUBJ': {'devacc': 90.12, 'acc': 90.53, 'ndev': 10000, 'ntest': 10000}, 'SST2': {'devacc': 75.23, 'acc': 74.74, 'ndev': 872, 'ntest': 1821}, 'SST5': {'devacc': 38.69, 'acc': 37.87, 'ndev': 1101, 'ntest': 2210}}
./finetuned-scrumbled-wikitext2-3e-4/checkpoint-2800	{'CR': {'devacc': 74.15, 'acc': 75.73, 'ndev': 3775, 'ntest': 3775}, 'MR': {'devacc': 70.96, 'acc': 71.04, 'ndev': 10662, 'ntest': 10662}, 'MPQA': {'devacc': 84.82, 'acc': 85.59, 'ndev': 10606, 'ntest': 10606}, 'SUBJ': {'devacc': 89.78, 'acc': 90.31, 'ndev': 10000, 'ntest': 10000}, 'SST2': {'devacc': 77.06, 'acc': 74.14, 'ndev': 872, 'ntest': 1821}, 'SST5': {'devacc': 39.96, 'acc': 40.59, 'ndev': 1101, 'ntest': 2210}}
./finetuned-scrumbled-wikitext2-3e-4/checkpoint-2880	{'CR': {'devacc': 74.15, 'acc': 75.82, 'ndev': 3775, 'ntest': 3775}, 'MR': {'devacc': 70.51, 'acc': 70.95, 'ndev': 10662, 'ntest': 10662}, 'MPQA': {'devacc': 84.43, 'acc': 84.67, 'ndev': 10606, 'ntest': 10606}, 'SUBJ': {'devacc': 90.05, 'acc': 90.39, 'ndev': 10000, 'ntest': 10000}, 'SST2': {'devacc': 77.75, 'acc': 74.24, 'ndev': 872, 'ntest': 1821}, 'SST5': {'devacc': 38.78, 'acc': 39.05, 'ndev': 1101, 'ntest': 2210}}
./finetuned-scrumbled-wikitext2-3e-4/checkpoint-2960	{'CR': {'devacc': 74.21, 'acc': 74.68, 'ndev': 3775, 'ntest': 3775}, 'MR': {'devacc': 70.42, 'acc': 70.86, 'ndev': 10662, 'ntest': 10662}, 'MPQA': {'devacc': 84.97, 'acc': 85.69, 'ndev': 10606, 'ntest': 10606}, 'SUBJ': {'devacc': 89.96, 'acc': 90.48, 'ndev': 10000, 'ntest': 10000}, 'SST2': {'devacc': 74.89, 'acc': 76.44, 'ndev': 872, 'ntest': 1821}, 'SST5': {'devacc': 37.97, 'acc': 38.33, 'ndev': 1101, 'ntest': 2210}}
